Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Šilainiai, K. Čerbulėno g., mūrinis sublokuotas namas",169 000 €,16,123 m²,"0,6 a",,2,2024,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,Garažas,Šildomos grindys,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Vilijampolė, Skirmanto g., mūrinio namo dalis",75 000 €,,35 m²,0 a,2,1,2023,Mūrinis,Namo dalis,Kita,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,,KondicionieriusSu baldaisŠaldytuvasVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Aleksotas, Mirtų g., mūrinis namas",244 777 €,,227 m²,"9,7 a",,2,"2002 statyba, 2016 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Smiltynų II k., Nuokalnės g., mūrinis namas",81 000 €,,75 m²,7 a,3,2,1988,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Artezinis, šulinys",Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Garažas,Skalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,300,,
"Kauno r. sav., Ražiškių k., Vyšnių g., karkasinis sodo namas",29 000 €,,30 m²,6 a,,2,1980,Karkasinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Smiltynų II k., Užtvankos g., mūrinis sodo namas",54 999 €,5,75 m²,7 a,2,2,1998,Mūrinis,Sodo namas,Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Aviečių g., mūrinis namas",300 000 €,2,276 m²,13 a,5,2,1996,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kietu kuru","Artezinis, miesto vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Ežeras,5 000,B,
"Kaunas, medinis kita",21 500 €,,50 m²,0 a,,1,2024,Medinis,"Kita (nukeliamas, projektas, kt.)",Elektra,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, Marvelės g., medinis namas",150 000 €,79,167 m²,"5,9 a",,3,1931,Medinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Neįrengtas,Kraštinis sklypasGreta miškoElektraDujosInternetas,RūsysŪkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Smiltynų II k., Nuokalnės g., mūrinis sodo namas",81 000 €,,75 m²,7 a,,2,1988,Mūrinis,Sodo namas,Kietu kuru,"Artezinis, šulinys",Įrengtas,Greta miškoAsfaltuotas privažiavimasElektra,Garažas,Su baldaisVirtuvės komplektasPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,300,,
