Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Žaliakalnis, V. Lašo g., mūrinis namas",790 000 €,7,210 m²,"9,33 a",8,3,"1955 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,RūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Vilties g., mūrinis namas",299 000 €,37,"123,97 m²","6,7 a",5,1,2017,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Įrengtas,ElektraInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, V. Kavolio g., mūrinis sublokuotas namas",165 500 €,,"80,95 m²","0,5 a",,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Laumių g., mūrinis namas",400 000 €,,"155,23 m²","7,4 a",4,1,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vaišvydava, Tursono g., mūrinis namas",195 000 €,,"204,84 m²",5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujos,Garažas,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Naujatriobių k., Tvenkinių g., karkasinis sodo namas",35 000 €,,"54,5 m²","6,11 a",3,2,2014,Karkasinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Elektra,RūsysŪkiniai pastatai,Su baldaisŠaldytuvasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Svajonių g., mūrinis namas",399 999 €,,"120,29 m²","5,3 a",4,1,2022,Mūrinis,Namas (gyvenamasis),Saulės energija,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,300,A+,
"Kauno r. sav., Giraitės k., Aronijų g., mūrinis sublokuotas namas",249 000 €,8,120 m²,3 a,4,2,2016,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Giraitės k., Plukių g., mūrinis sublokuotas namas",149 000 €,,80 m²,"2,1 a",4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,Terasa,Šildomos grindysVirtuvės komplektas,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Kleboniškis, Kleboniškio g., mūrinis namas",495 000 €,,300 m²,6 a,6,2,"2009 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,PirtisRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Aukštieji Šančiai, Prancūzų g., mūrinis namas",640 000 €,177,"334,29 m²",20 a,5,2,2004,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetas,BaseinasGaražasPirtisRūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,150,,
"Kaunas, Romainiai, Lukštinės g., mūrinis sublokuotas namas",189 000 €,,"84,34 m²","1,53 a",3,2,2017,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Vaišvydava, Sedulų g., mūrinis namas",250 000 €,,"175,06 m²","12,94 a",6,2,2016,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,ElektraInternetas,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vaišvydava, Sūrės g., mūrinis namas",390 000 €,,"307,59 m²","25,34 a",6,2,"2004 statyba, 2011 renovacija",Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,ElektraDujosInternetasAsfaltuotas privažiavimas,GaražasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Romainių Kaimelės k., Ainių g., mūrinis namas",470 000 €,,"260,38 m²",15 a,5,2,2014,Mūrinis,Namas (gyvenamasis),Dujinis,Artezinis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,C,
"Kaunas, Dainava, Pasimatymo aklg., mūrinis sublokuotas namas",285 000 €,,"316,66 m²","2,2 a",,2,2002,Mūrinis,Sublokuotas namas,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Girios g., mūrinis namas",247 000 €,,"106,72 m²","7,83 a",3,1,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetas,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Bivylių g., mūrinis namas",210 000 €,,"84,63 m²","4,5 a",4,1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Seniavos k., Seniavos g., mūrinis namas",175 000 €,78,80 m²,"1,9 a",4,2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Užliedžių k., Draugystės g., mūrinis namas",179 999 €,,110 m²,7 a,4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Rūbinė,Šildomos grindysPlastikiniai vamzdžiai,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,A++,
"Kaunas, Panemunė, V. Zatorskio g., karkasinis sublokuotas namas",227 000 €,20,110 m²,3 a,,2,2023,Karkasinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Klevų g., mūrinis sublokuotas namas",190 000 €,22A,"96,23 m²","2,41 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Kačerginės mstl., J. Janonio g., mūrinis sublokuotas namas",298 990 €,,"146,4 m²","3,98 a",4,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimas,GaražasTerasa,Šildomos grindysRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Šilainiai, A. Šapokos g., mūrinis sublokuotas namas",141 831 €,,"87,55 m²",2 a,,2,2023,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Didvyrių k., Pelėdų g., mūrinis sublokuotas namas",125 000 €,,80 m²,5 a,4,1,2024,Mūrinis,Sublokuotas namas,Elektra,,Dalinė apdaila,ElektraInternetasAsfaltuotas privažiavimas,Terasa,,SignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Poderiškių k., Šviesos g., Namas (gyvenamasis)",120 000 €,,80 m²,5 a,,1,2023,Kita,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Pakaunės g., mūrinis sublokuotas namas",124 900 €,67,80 m²,"3,5 a",,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Narsiečių k., Povilo Revento g., mūrinis sublokuotas namas",339 000 €,1,150 m²,4 a,4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Garažas,Kondicionierius,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Kačerginės mstl., Stovyklavietės g., mūrinis namas",158 000 €,,"189,94 m²","10,6 a",,2,2008,Mūrinis,Namas (gyvenamasis),Kita,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Luknės g., mūrinis sublokuotas namas",195 000 €,,90 m²,"2,5 a",4,2,2022,Mūrinis,Sublokuotas namas,Elektra,,Įrengtas,Kraštinis sklypasElektraInternetasKabelinė televizijaAsfaltuotas privažiavimas,Terasa,Kondicionierius,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Garliavos m., J. Biliūno g., mūrinis namas",239 000 €,3,189 m²,"6,47 a",5,2,"1970 statyba, 2019 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Narsiečių k., Povilo Revento g., mūrinis sublokuotas namas",230 000 €,25,150 m²,4 a,,2,2021,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,GaražasRūbinė,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Kačerginės mstl., J. Janonio g., mūrinis namas",311 000 €,,"150,91 m²","4,2 a",4,2,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, J. Puzino g., mūrinis namas",325 000 €,,"175,16 m²","10,24 a",4,2,2018,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,ElektraAsfaltuotas privažiavimas,GaražasTerasa,Skalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Amaliai, Šaltalankių skg., mūrinis sublokuotas namas",250 000 €,,"294,58 m²","4,43 a",6,3,1991,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūsysTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Panemunė, Viršučių g., mūrinis sublokuotas namas",207 900 €,34,154 m²,"3,5 a",,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,ElektraInternetas,GaražasTerasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Šlienavos k., Žaisos g., mūrinis sublokuotas namas",127 000 €,21,"83,8 m²","7,5 a",4,1,2024,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis",Miesto vandentiekis,Dalinė apdaila,Greta miškoElektraInternetasKabelinė televizija,,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,2 500,A++,
"Kaunas, Aukštieji Šančiai, Vievio g., mūrinis sublokuotas namas",305 000 €,39,"105,91 m²","1,3 a",4,2,2023,Mūrinis,Sublokuotas namas,"Elektra, dujinis",Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraInternetas,,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Giraitės k., Trešnių g., mūrinis sublokuotas namas",225 000 €,8C,"91,12 m²","4,6 a",4,2,2011,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Ūkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,1 400,B,
"Kauno r. sav., Poderiškių k., Saulės g., mūrinis namas",114 500 €,3,75 m²,"4,5 a",4,1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",,Dalinė apdaila,Elektra,,Plastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Šatijų k., Centrinė g., mūrinis sodo namas",75 000 €,53,151 m²,6 a,,2,1990,Mūrinis,Sodo namas,Kita,,Neįrengtas,Greta miškoAsfaltuotas privažiavimasElektra,,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,140,,
"Kaunas, Palemonas, Kopų g., mūrinis namas",170 000 €,23,"160,23 m²","0,12 a",,2,"1960 statyba, 1982 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,4400-0555-6658
"Kauno r. sav., Garliavos m., J. Lukšos g., mūrinis namas",110 000 €,28,70 m²,9 a,3,2,1969,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Rinkūnų k., Ryto g., mūrinio namo dalis",46 000 €,,50 m²,"11,26 a",2,1,1962,Mūrinis,Namo dalis,Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,Elektra,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ražiškių k., Vasario 16-osios g., mūrinis namas",475 000 €,46,"254,96 m²",29 a,7,2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizijaSu pakrante,GaražasRūbinė,KondicionieriusŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,40,B,
"Kauno r. sav., Garliavos m., Vakarinė g., mūrinis namas",234 000 €,39,94 m²,10 a,2,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Mastaičių k., Miglės g., mūrinis namas",236 000 €,91,146 m²,"12,47 a",,1,2007,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Kvesų k., rąstinė sodyba",70 000 €,,80 m²,26 a,4,1,1964,Rąstinis,Sodyba,Kietu kuru,"Artezinis, šulinys",Įrengtas,Kraštinis sklypasGreta miškoElektraSu pakrante,Ūkiniai pastatai,Su baldaisŠaldytuvasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,1,,
"Kaunas, Romainiai, Liucijanavos g., mūrinis sublokuotas namas",159 000 €,,94 m²,2 a,,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Šilainiai, Žaibo g., mūrinis namas",316 000 €,26,"280,97 m²","8,68 a",8,2,1998,Mūrinis,Namas (gyvenamasis),"Elektra, skystu kuru, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Jonučių II k., mūrinis kita",154 000 €,,140 m²,7 a,,2,2023,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Aeroterminis,Miesto vandentiekis,Dalinė apdaila,ElektraInternetas,GaražasRūbinėTerasa,Šildomos grindysRekuperacinė sistema,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Pakarklės g., mūrinis namas",455 000 €,,220 m²,9 a,5,2,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Garliavos m., J. Gabrio g., mūrinis sublokuotas namas",185 000 €,5A,346 m²,7 a,,2,"1972 statyba, 1994 renovacija",Mūrinis,Sublokuotas namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Poderiškių k., mūrinis namas",169 999 €,,80 m²,10 a,,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žemieji Šančiai, Kranto 13-oji g., medinis namas",126 000 €,30,"48,16 m²","4,81 a",3,1,1930,Medinis,Namas (gyvenamasis),Centrinis,Šulinys,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasSu pakrante,Ūkiniai pastatai,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,5,,
"Kaunas, Romainiai, K. Popeliučkos g., mūrinis sublokuotas namas",144 000 €,,88 m²,4 a,4,1,2024,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,ElektraDujos,,Plastikiniai vamzdžiai,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Gervėnupio k., Parko al., mūrinis namas",52 900 €,,56 m²,6 a,,2,"1984 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Jaučakių k., Lelijų g., Sodo namas",17 000 €,5,"62,35 m²","0,12 a",,1,2002,Kita,Sodo namas,Kietu kuru,,Nebaigtas statyti,Greta miškoElektra,Rūsys,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,5253-0012-0028
"Kauno r. sav., Ražiškių k., Saulės al., mūrinis namas",237 600 €,5,132 m²,"6,22 a",,1,2024,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
