Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiauliai, Medelynas, Marijampolės g., mūrinis namas",67 000 €,,205 m²,"8,27 a",2,1987,Mūrinis,Namas (gyvenamasis),Dujinis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Gubernija, Pakruojo g., mūrinis namas",119 800 €,,"249,42 m²",6 a,1,2012,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiauliai, Žaliūkiai, Žaliūkių g., mūrinis namas",79 000 €,26,229 m²,"9,9 a",2,1989,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,7,"Šulinys, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiauliai, Medelynas, Karklų g., mūrinis namas",102 000 €,,"299,98 m²",6 a,2,1992,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektra,Garažas,Su baldais,Šarvuotos durys,,
"Šiauliai, Bačiūnai, Kuosų g., mūrinis namas",395 000 €,83,"157,25 m²","13,4 a",1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Šiauliai, Centras, Merkinės g., mūrinis sublokuotas namas",139 000 €,5A,131 m²,"4,7 a",2,1972,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Dubijos g., mūrinis namas",450 000 €,38,375 m²,0 a,3,"1923 statyba, 2008 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetas,Rūsys,,,,
"Šiauliai, Pabaliai, Pramonės g., mūrinis sublokuotas namas",150 000 €,78,116 m²,"2,5 a",2,2020,Mūrinis,Sublokuotas namas,Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetas,Terasa,Šildomos grindysŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Aukštelkės k., Paparčių g., mūrinio namo dalis",34 000 €,13,103 m²,"7,69 a",2,1973,Mūrinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Lieporiai, Mažosios Lietuvos g., mūrinis namas",95 000 €,20,129 m²,8 a,1,2019,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,Asfaltuotas privažiavimasElektraDujos,Garažas,,,,
"Šiauliai, Zokniai, Margių g., mūrinis namas",36 000 €,25,"49,26 m²","6,93 a",1,1954,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",,,ElektraInternetasKabelinė televizija,Ūkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Šiaulių r. sav., Mumaičių k., medinis namas",25 000 €,2,47 m²,28 a,1,1946,Medinis,Namas (gyvenamasis),Kietu kuru,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
