Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Sauginių k., Pakrantės g., mūrinis namas",180 000 €,31,180 m²,25 a,2,2023,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, dujinis, saulės energija, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,Tvenkinys,50,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosSu pakrante,PirtisRūbinėRūsysTerasa,Šildomos grindysPlastikiniai vamzdžiai,SignalizacijaŠarvuotos durys,,
"Šiauliai, Centras, P. Lukšio g., rąstinis namas",64 500 €,,"99,29 m²","6,42 a",2,1952,Rąstinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,ŠaldytuvasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,,
"Šiaulių r. sav., Kužių mstl., Ramybės g., mūrinis namas",49 000 €,9,130 m²,"19,32 a",2,1970,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,Miesto vandentiekis,Upė,,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Dainų k., Girnovių g., mūrinis sublokuotas namas",188 000 €,4,84 m²,4 a,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,,,Aptverta teritorijaSignalizacijaVaizdo kameros,A++,
"Šiaulių r. sav., Dainų k., Girnovių g., mūrinis sublokuotas namas",129 000 €,,84 m²,4 a,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Rekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A++,
"Šiaulių r. sav., Dainų k., Girnovių g., mūrinis sublokuotas namas",154 000 €,,107 m²,4 a,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Vietinis vandentiekis,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A++,
"Šiauliai, Pabaliai, Šaukėnų g., mūrinis namas",199 000 €,,74 m²,"4,84 a",1,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,ElektraDujos,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Zokniai, Radviliškio g., mūrinis namas",162 000 €,38,173 m²,4 a,2,2007,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Kužių mstl., Ryto g., mūrinis namas",84 900 €,,"136,15 m²","34,17 a",2,1985,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektra,BaseinasGaražasPirtisRūsysŪkiniai pastatai,Židinys,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Lieporiai, Jotvingių g., mūrinis namas",158 300 €,,"97,4 m²",5 a,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Elektra,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorija,A++,
"Šiaulių r. sav., Kuršėnų m., Akmenės g., mūrinis namas",220 000 €,1,"146,88 m²",30 a,1,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,Kraštinis sklypasElektraDujosInternetasKabelinė televizija,GaražasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŽidinys,SignalizacijaŠarvuotos durys,B,
"Šiaulių r. sav., Vijolių k., Veterinarijos g., mūrinis namas",219 000 €,,"196,1 m²",10 a,1,"2012 statyba, 2018 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,ElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,GaražasTerasa,Su baldaisŽidinys,SignalizacijaŠarvuotos durys,C,
"Šiauliai, Žaliūkiai, Darkiemio g., mūrinis namas",149 000 €,36,"235,62 m²","6,06 a",2,1985,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Lieporiai, Lukojaus g., mūrinis namas",299 000 €,,"244,85 m²",9 a,2,2014,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,,GaražasPirtisTerasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,B,
"Šiaulių r. sav., Lingailių k., Tvenkinio g., karkasinis sodo namas",51 500 €,27,51 m²,"6,41 a",2,2012,Karkasinis,Sodo namas,"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,,,,,,
"Šiaulių r. sav., Kairių mstl., Topolių g., mūrinis namas",138 000 €,15,"197,02 m²","24,04 a",2,1981,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",Ežeras,1 000,Kraštinis sklypasAsfaltuotas privažiavimasInternetas,GaražasPirtisRūsysŪkiniai pastatai,Su baldais,Aptverta teritorija,,
"Šiaulių r. sav., Kuršėnų m., Ventos g., medinis namas",77 000 €,2A,"49,8 m²","7,95 a",1,1974,Medinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,ElektraKraštinis sklypas,Ūkiniai pastataiGaražas,Su baldaisSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Šiaulių r. sav., Sutkūnų k., Lauko g., karkasinis namas",120 000 €,2,80 m²,8 a,1,2023,Karkasinis,Namas (gyvenamasis),Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,Kraštinis sklypasElektra,Ūkiniai pastataiTerasa,,,,
"Šiauliai, Medelynas, Klaipėdos g., mūrinis namas",90 000 €,,113 m²,"6,65 a",1,1962,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,Asfaltuotas privažiavimas,Ūkiniai pastataiGaražas,,,,
"Šiauliai, Gegužiai, Kalniškių g., mūrinis namas",318 000 €,,185 m²,"6,6 a",1,2017,Mūrinis,Namas (gyvenamasis),"Dujinis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",Ežeras,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Šiaulių r. sav., Rakandžių k., mūrinis namas",120 000 €,,171 m²,139 a,1,"1955 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorija,C,
"Šiaulių r. sav., Skaudvilių k., Baltoji g., karkasinė sodyba",150 000 €,11,60 m²,96 a,,2017,Karkasinis,Sodyba,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Vietinis vandentiekis,,,,Ūkiniai pastatai,Su baldaisŠildomos grindysVirtuvės komplektasIndaplovė,Vaizdo kameros,,
"Šiaulių r. sav., Gervėnų k., Riešutinių g., medinis sodo namas",24 000 €,7,50 m²,"6,19 a",1,1986,Medinis,Sodo namas,Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Dainų k., Girūnės g., mūrinis namas",136 000 €,,125 m²,5 a,1,2024,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,,,Kraštinis sklypasElektraInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,SignalizacijaŠarvuotos durys,A++,
"Šiaulių r. sav., Oliesino k., blokinė sodyba",86 000 €,5,70 m²,500 a,,2012,Blokinis,Sodyba,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,,,ElektraKraštinis sklypasGreta miško,TerasaRūsysŪkiniai pastatai,Plastikiniai vamzdžiaiŠildomos grindys,,,
"Šiaulių r. sav., Pakapės k., Tytuvėnų g., mūrinė sodyba",60 000 €,,"2,4 m²",240 a,,1995,Mūrinis,Sodyba,Kietu kuru,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,,,,,,,,
"Šiauliai, Gubernija, Miško g., mūrinis namas",88 000 €,14A,96 m²,6 a,2,1959,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Beržynės k., Ringuvos g., rąstinis sodo namas",50 000 €,,41 m²,8 a,2,1990,Rąstinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Vinkšnėnų k., Akacijų g., mūrinis namas",129 000 €,,103 m²,"6,55 a",1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, centrinis kolektorinis, dujinis, saulės energija",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Artezinis,Tvenkinys,20,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,,Šildomos grindysRekuperacinė sistema,Aptverta teritorija,A+,
"Šiauliai, Rėkyva, Vyturio Sodų 5-oji g., medinis sodo namas",17 000 €,10,20 m²,7 a,1,1989,Medinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,"Vietinis vandentiekis, kita",Ežeras,2 200,Greta miškoElektra,,Su baldaisVirtuvės komplektas,,,4400-5796-6091
"Šiaulių r. sav., Meškuičių mstl., Parko g., mūrinis namas",75 000 €,4,"239,64 m²","20,11 a",1,1978,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimas,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,,9197-7017-6013
"Šiauliai, Medelynas, Troškūnų g., mūrinis namas",145 000 €,,"118,44 m²","7,95 a",15,1962,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Jakštaičių k., Bokšto g., mūrinis sodo namas",30 000 €,5,118 m²,"6,26 a",2,1988,Mūrinis,Sodo namas,Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Vijolių k., Lazdynų g., blokinis namas",83 000 €,13,"104,95 m²",8 a,1,2023,Blokinis,Namas (gyvenamasis),Kita,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,4400-5852-4780
"Šiaulių r. sav., Ginkūnų k., Rūko g., blokinis namas",295 000 €,,179 m²,"8,28 a",1,2014,Blokinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",Ežeras,300,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėTerasa,KondicionieriusŠildomos grindys,,,
"Šiauliai, Centras, Vilniaus g., mūrinis namas",88 500 €,294,"82,31 m²",6 a,2,1960,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,InternetasElektraDujosAsfaltuotas privažiavimas,Ūkiniai pastataiGaražasRūsys,Plastikiniai vamzdžiaiViryklė,,F,
"Šiauliai, Centras, Rygos g., rąstinė namo dalis",51 000 €,14,"51,94 m²","3,56 a",2,"1935 statyba, 2019 renovacija",Rąstinis,Namo dalis,"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,Ežeras,350,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,,,,
"Šiauliai, Centras, Grafo Zubovo g., mūrinis namas",188 000 €,11B,115 m²,4 a,2,2023,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Bazilionų mstl., Vytauto g., rąstinis namas",42 999 €,36,94 m²,"15,86 a",1,"1938 statyba, 2000 renovacija",Rąstinis,Namas (gyvenamasis),"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,Upė,1 500,Asfaltuotas privažiavimasElektra,PirtisŪkiniai pastatai,Su baldaisVirtuvės komplektasŽidinys,Aptverta teritorija,,
"Šiauliai, Centras, Noreikių g., mūrinis namas",255 000 €,4A,115 m²,5 a,2,2018,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,ElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Skalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacija,,
"Šiaulių r. sav., Pašvinių k., Kregždučių g., Sodyba",25 000 €,7,30 m²,6 a,,2009,Kita,Sodyba,"Dujinis, elektra",Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Artezinis,,,ElektraGreta miško,Terasa,Viryklė,,,
"Šiaulių r. sav., Aukštelkės k., Dubysos g., mūrinis namas",38 500 €,19,185 m²,12 a,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,A+,
"Šiauliai, Pabaliai, Etten-Leuro g., mūrinis namas",206 700 €,64,130 m²,"6,27 a",1,2024,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Greta miškoAsfaltuotas privažiavimasElektra,GaražasTerasa,Rekuperacinė sistema,Aptverta teritorija,A++,
"Šiaulių r. sav., Jakštaičių k., Didžioji g., mūrinis sodo namas",27 000 €,20,70 m²,6 a,3,1992,Mūrinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Vietinis vandentiekis,Ežeras,500,Elektra,GaražasRūsysTerasa,Židinys,,,
"Šiauliai, Medelynas, Klaipėdos g., mūrinis namas",149 990 €,,"206,52 m²","6,8 a",1,1976,Mūrinis,Namas (gyvenamasis),"Skystu kuru, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,Garažas,Su baldais,Aptverta teritorija,,
"Šiauliai, Bačiūnai, medinis sodo namas",16 500 €,,40 m²,6 a,2,1999,Medinis,Sodo namas,"Centrinis, elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, S. Nėries g., mūrinis namas",214 000 €,,210 m²,"2,6 a",3,"1986 statyba, 2011 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Bačiūnai, Ramunės Sodų 3-oji g., mūrinis namas",137 500 €,7,80 m²,"7,65 a",1,2023,Mūrinis,Namas (gyvenamasis),"Centrinis, elektra",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Elektra,,Šildomos grindys,,,
"Šiaulių r. sav., Lukšių k., Žemaičių g., mūrinis namas",139 000 €,14,183 m²,"24,4 a",2,"1983 statyba, 2013 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,Šulinys,,,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,PirtisRūsysŪkiniai pastatai,KondicionieriusSu baldaisVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,C,
"Šiaulių r. sav., Kužių mstl., Vilties g., mūrinis namas",67 000 €,,65 m²,26 a,2,1975,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Dujos,Ūkiniai pastataiGaražasRūsys,Skalbimo mašinaViryklė,,,
"Šiaulių r. sav., Ginkūnų k., Sodininkų g., rąstinis sodo namas",119 000 €,,76 m²,6 a,2,2014,Rąstinis,Sodo namas,"Elektra, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Aukštelkės k., Ąžuolų g., mūrinis namas",199 000 €,,345 m²,32 a,3,2016,Mūrinis,Namas (gyvenamasis),"Geoterminis, dujinis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasPirtisRūbinėRūsys,KondicionieriusSkalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Bačiūnai, Klevo Sodų 1-oji g., mūrinis sodo namas",45 000 €,9,"71,43 m²",6 a,2,1992,Mūrinis,Sodo namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Grafo Zubovo g., mūrinio namo dalis",135 000 €,2A,119 m²,"4,4 a",2,1982,Mūrinis,Namo dalis,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,,,
"Šiaulių r. sav., Eimučių k., Ievų g., mūrinis namas",32 999 €,11,"74,47 m²","0,34 a",1,1968,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,ElektraAsfaltuotas privažiavimas,Ūkiniai pastatai,,Šarvuotos durys,,
"Šiauliai, Žaliūkiai, Kelmės g., mūrinis sublokuotas namas",175 000 €,,120 m²,6 a,2,"1984 statyba, 2014 renovacija",Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Rėkyva, Klevo Sodų 9-oji g., medinis sodo namas",21 000 €,3,43 m²,"6,14 a",2,1992,Medinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,Ežeras,200,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Ūkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,,,
"Šiauliai, Žaliūkiai, Šilėnų g., mūrinis namas",120 000 €,,"133,71 m²",6 a,2,1958,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacija,,
"Šiauliai, Pabaliai, Šiladžio g., mūrinis namas",229 000 €,16A,245 m²,5 a,2,2010,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,,,,,,,,
"Šiauliai, Pabaliai, Lizdeikos g., mūrinis namas",235 000 €,41A,110 m²,"7,5 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,2 000,Greta miškoAsfaltuotas privažiavimasElektra,RūbinėTerasa,,,A++,
"Šiauliai, Medelynas, V. Bielskio g., mūrinis namas",245 000 €,,"311,63 m²",15 a,2,2021,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasTerasa,ŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,B,
"Šiauliai, Centras, Žemaitės g., mūrinis sublokuotas namas",156 000 €,106A,100 m²,3 a,2,2024,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,A,
"Šiaulių r. sav., Toliočių k., Bijūnų g., medinis sodo namas",14 900 €,,13 m²,6 a,1,1991,Medinis,Sodo namas,Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Šulinys,Tvenkinys,50,Elektra,Garažas,,,,
"Šiauliai, Bačiūnai, Ramunės Sodų 7-oji g., karkasinis sodo namas",72 000 €,29,80 m²,7 a,1,2022,Karkasinis,Sodo namas,Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Artezinis,Tvenkinys,50,Elektra,,,Šarvuotos durys,,
"Šiaulių r. sav., Jakštaičių k., Skardžio g., mūrinis sodo namas",44 000 €,40,"61,11 m²",9 a,2,1987,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Tvenkinys,300,Kraštinis sklypasElektra,GaražasPirtisRūsysŪkiniai pastatai,ViryklėŽidinys,Signalizacija,,9116-0001-0079
