Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytaus r. sav., Ąžuolinių k., Piliakalnio g., mūrinis namas",45 000 €,14,"88,21 m²",17 a,1,1969,Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Norgeliškių k., Žalioji g., mūrinis namas",105 000 €,6,247 m²,63 a,1,1979,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",,Įrengtas,,ElektraAsfaltuotas privažiavimasKraštinis sklypasGreta miško,Ūkiniai pastataiGaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldaisVirtuvės komplektasViryklė,,,
"Alytaus r. sav., Muiželėnų k., Centrinė g., medinis kita",9 000 €,,620 m²,"6,2 a",1,1984,Medinis,"Kita (nukeliamas, projektas, kt.)",Kita,,Kita,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kalesninkų k., medinė sodyba",11 000 €,,72 m²,45 a,1,1920,Medinis,Sodyba,"Centrinis, elektra",,Įrengtas,,Kraštinis sklypas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Praniūnų k., mūrinis namas",105 000 €,,"165,6 m²","0,4269 a",1,1975,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,700,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,KondicionieriusSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,,Upė,
"Alytaus r. sav., Papėčių k., medinis namas",37 500 €,,"73,29 m²",89 a,1,1958,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-6107-8808,,,,,
"Alytaus r. sav., Bazorų k., Topolių g., medinis sodo namas",19 000 €,17,"60,23 m²",8 a,2,2005,Medinis,Sodo namas,Kita,,Dalinė apdaila,,ElektraKraštinis sklypas,Terasa,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Su baldais,Aptverta teritorija,,G
"Alytaus r. sav., Žaliosios k., Onuškio g., mūrinis namas",27 000 €,3,84 m²,59 a,1,2000,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kumečių k., Žiedo g., mūrinis namas",80 000 €,13,"277,54 m²","36,31 a",2,1985,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kaimynų k., Kaimynų g., Sodyba",58 000 €,23,90 m²,"76,06 a",1,1950,Kita,Sodyba,Kietu kuru,Šulinys,Kita,50,Kraštinis sklypasAsfaltuotas privažiavimasElektraSu pakrante,Ūkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,Ežeras,
"Alytaus r. sav., Muiželėnų k., Rūtų g., mūrinis sodo namas",23 600 €,18,"45,17 m²","6,8 a",2,1984,Mūrinis,Sodo namas,"Elektra, kietu kuru",Šulinys,Dalinė apdaila,,Kraštinis sklypasGreta miškoElektraSu pakrante,RūbinėRūsysŪkiniai pastatai,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Židinys,,,
"Alytaus r. sav., Punios k., Margelio g., mūrinis namas",45 000 €,1,100 m²,"15,85 a",1,1977,Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,Upė,
"Alytaus r. sav., Butkūnų k., Paplanskų g., mūrinis namas",189 900 €,,180 m²,18 a,2,2013,Mūrinis,Namas (gyvenamasis),"Aeroterminis, kita",Artezinis,Įrengtas,,Elektra,Garažas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Vidzgiris, Zaidų g., mūrinis sublokuotas namas",52 000 €,125,267 m²,"8,63 a",3,1996,Mūrinis,Sublokuotas namas,Kietu kuru,Miesto vandentiekis,Dalinė apdaila,,Kraštinis sklypasGreta miškoElektraDujos,GaražasRūsys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Šildomos grindys,,,
"Alytaus r. sav., Norūnų k., Saulės g., mūrinis sodo namas",56 500 €,6,40 m²,"6,7 a",1,2021,Mūrinis,Sodo namas,"Elektra, kita","Šulinys, vietinis vandentiekis",Įrengtas,100,Elektra,Terasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,1,Su baldaisŠildomos grindys,,Tvenkinys,A+
"Alytaus k., Rūtų g., mūrinis namas",129 000 €,,"147,55 m²","6,03 a",2,2023,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,,Asfaltuotas privažiavimasElektra,Garažas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,Šarvuotos durys,Upė,
