Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytaus r. sav., Daugų m., Vytauto g., rąstinis namas",31 000 €,6,"80,1 m²","4,24 a",1,"1940 statyba, 1973 renovacija",Rąstinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Neįrengtas,5,Asfaltuotas privažiavimasElektraSu pakrante,Ūkiniai pastatai,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3394-0004-0011,4,,,Ežeras,
"Alytaus r. sav., Miklusėnų k., Lakštingalų g., mūrinis namas",143 000 €,,135 m²,15 a,2,"1992 statyba, 2002 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Vietinis vandentiekis,Įrengtas,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Virtuvės komplektasŽidinys,Aptverta teritorija,,
"Alytus, Senamiestis, Lelijų g., mūrinis namas",108 000 €,,217 m²,"7,28 a",2,"1984 statyba, 2012 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis",Miesto vandentiekis,Įrengtas,1,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosSu pakrante,BaseinasGaražasPirtisRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,Upė,
"Alytaus r. sav., Daugų m., Krantinės g., mūrinis namas",109 000 €,1,228 m²,"16,47 a",2,1987,Mūrinis,Namas (gyvenamasis),"Dujinis, kita","Miesto vandentiekis, šulinys",Įrengtas,150,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,Šarvuotos durys,Ežeras,
"Alytaus r. sav., Vaikantonių k., Akalyčios g., rąstinis namas",34 000 €,,"79,74 m²",42 a,1,1950,Rąstinis,Namas (gyvenamasis),"Kietu kuru, kita",Šulinys,Įrengtas,50,Elektra,GaražasPirtisRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacija,Tvenkinys,
"Alytus, Pirmas Alytus, Saulėtekio g., mūrinis namas",85 000 €,,215 m²,6 a,2,1985,Mūrinis,Namas (gyvenamasis),"Dujinis, kita",,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Nemunaičio k., Alyvų g., mūrinis namas",175 000 €,4,"79,32 m²","10,54 a",1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, centrinis kolektorinis, aeroterminis",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Putinai, Miklusėnų g., karkasinis namas",125 000 €,43,85 m²,10 a,1,"1964 statyba, 2001 renovacija",Karkasinis,Namas (gyvenamasis),"Centrinis, dujinis",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Daugų m., Turgaus a., mūrinis namas",84 000 €,,"197,01 m²","4,53 a",2,1938,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,,ElektraAsfaltuotas privažiavimas,GaražasTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Su baldaisŽidinys,Šarvuotos durys,,
"Alytaus r. sav., Kalesninkų k., Kaštonų g., mūrinis namas",32 000 €,,98 m²,41 a,2,1973,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,2 500,Asfaltuotas privažiavimas,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldais,,Ežeras,
"Alytaus r. sav., Padvariškių k., Lapakalnio g., Kita (nukeliamas, projektas, kt.)",24 999 €,1,48 m²,108 a,1,1953,Kita,"Kita (nukeliamas, projektas, kt.)",Kita,Šulinys,Kita,10,Asfaltuotas privažiavimasElektra,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,Tvenkinys,
"Alytaus r. sav., Likiškėlių k., Aušros g., mūrinis sodo namas",60 000 €,,80 m²,"8,12 a",2,1981,Mūrinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldais,,,
"Alytaus r. sav., Spernios k., Kaštonų g., mūrinė sodyba",27 000 €,,68 m²,283 a,1,1967,Mūrinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,2 500,Greta miškoAsfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Ežeras,
"Alytaus r. sav., Nemunaičio k., Karklų g., mūrinis sodo namas",45 000 €,,219 m²,10 a,2,1992,Mūrinis,Sodo namas,Kietu kuru,Artezinis,Įrengtas,130,Greta miškoElektra,GaražasPirtisRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldaisŠaldytuvasVirtuvės komplektasŽidinys,,Upė,
"Alytaus r. sav., Tabalenkos k., Bokšto g., karkasinė sodyba",69 000 €,,"134,17 m²","31,14 a",2,1980,Karkasinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,15,Elektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldaisVirtuvės komplektas,,Tvenkinys,
"Alytaus r. sav., Luksnėnų k., Gėlių g., karkasinis sodo namas",28 000 €,,86 m²,7 a,2,1992,Karkasinis,Sodo namas,Kita,Šulinys,Įrengtas,150,Asfaltuotas privažiavimasElektra,Garažas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldais,,Ežeras,
"Alytaus r. sav., Likiškėlių k., Aušros g., mūrinis sodo namas",85 000 €,,"101,82 m²","5,93 a",1,2003,Mūrinis,Sodo namas,"Centrinis, aeroterminis, kietu kuru",,Įrengtas,,,Garažas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldaisVirtuvės komplektas,,,
"Alytaus r. sav., Kurnėnų k., Ežero g., mūrinis namas",169 000 €,,"194,96 m²","37,3 a",1,2022,Mūrinis,Namas (gyvenamasis),Elektra,Kita,Dalinė apdaila,40,Asfaltuotas privažiavimasElektraSu pakrante,Garažas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,SignalizacijaVaizdo kameros,Ežeras,
"Alytaus r. sav., Muiželėnų k., Tulpių g., karkasinis sodo namas",16 900 €,,"29,09 m²","6,8 a",1,1986,Karkasinis,Sodo namas,Elektra,,Įrengtas,1,Kraštinis sklypasGreta miškoElektra,PirtisŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Tvenkinys,
"Alytaus r. sav., Karliškių k., Vytauto g., karkasinis namas",273 000 €,5B,"182,26 m²",52 a,2,2022,Karkasinis,Namas (gyvenamasis),"Elektra, aeroterminis, kita",Vietinis vandentiekis,Dalinė apdaila,1,Asfaltuotas privažiavimasElektraSu pakrante,GaražasTerasa,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-5461-6541,5,KondicionieriusSu baldaisŠaldytuvasPlastikiniai vamzdžiai,,Ežeras,
"Alytaus r. sav., Bazorų k., Šermukšnių g., karkasinis namas",186 000 €,18,95 m²,7 a,2,2022,Karkasinis,Namas (gyvenamasis),"Elektra, aeroterminis, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Bazorų k., Vyšnių g., mūrinis namas",56 000 €,36,"83,21 m²","6,29 a",2,2023,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru, kita",,Dalinė apdaila,70,Greta miškoElektra,RūsysTerasa,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-6279-3386,3,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Upė,
"Alytaus r. sav., Punios k., Žagarių g., medinė sodyba",29 000 €,5,60 m²,56 a,2,1997,Medinis,Sodyba,Kita,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Viečiūnų k., Navakanto g., rąstinė sodyba",59 000 €,,83 m²,973 a,1,1957,Rąstinis,Sodyba,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Jurkionių k., Lauko g., mūrinis sodo namas",22 500 €,,"56,8 m²","6,7 a",1,1999,Mūrinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,,Kraštinis sklypasElektra,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,,
"Alytaus r. sav., Miroslavo k., Parko g., karkasinis namas",52 000 €,,59 m²,29 a,1,1957,Karkasinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,Aptverta teritorija,Ežeras,
"Alytus, Senamiestis, Kauno g., rąstinis namas",134 000 €,,116 m²,"7,17 a",2,"1976 statyba, 2022 renovacija",Rąstinis,Namas (gyvenamasis),"Centrinis kolektorinis, aeroterminis",Miesto vandentiekis,Įrengtas,600,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Šildomos grindysVirtuvės komplektas,,Upė,
"Alytaus r. sav., Nemunaičio mstl., Nemuno g., mūrinis namas",58 000 €,,172 m²,10 a,1,1984,Mūrinis,Namas (gyvenamasis),Centrinis,Šulinys,Įrengtas,100,Greta miškoAsfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldais,,Upė,
"Alytus, Senamiestis, Vilniaus g., mūrinis namas",449 000 €,,297 m²,7 a,2,2000,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraDujos,Garažas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldaisVirtuvės komplektas,Aptverta teritorijaSignalizacijaVaizdo kameros,,
"Alytaus k., Pakrantės g., mūrinis sodo namas",58 700 €,,71 m²,6 a,1,"1995 statyba, 2005 renovacija",Mūrinis,Sodo namas,"Centrinis, kietu kuru",Šulinys,Įrengtas,,Greta miško,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,Aptverta teritorija,,
"Alytaus r. sav., Butrimonių mstl., Naujoji g., mūrinis namas",85 000 €,,68 m²,15 a,1,"1975 statyba, 2021 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraInternetas,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Su baldaisPlastikiniai vamzdžiai,Aptverta teritorija,,
"Alytus, Pirmas Alytus, Ateities g., mūrinis namas",154 999 €,10,299 m²,6 a,2,1971,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūbinėRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,,
"Alytaus k., Lelijų g., blokinis namas",180 000 €,5,"79,3 m²","5,85 a",1,2022,Blokinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Įrengtas,,Greta miškoElektra,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-5971-7950,3,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,,Upė,
"Alytaus r. sav., Butrimonių mstl., Vilniaus g., rąstinė sodyba",13 500 €,31,"47,65 m²","19,95 a",1,1960,Rąstinis,Sodyba,Kietu kuru,Kita,Įrengtas,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3396-0007-8019,2,,Aptverta teritorija,,
"Alytaus r. sav., Punios k., Jaunimo g., mūrinis namas",47 000 €,,"119,64 m²","14,78 a",1,1981,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,ElektraAsfaltuotas privažiavimas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,
"Alytus, Pirmas Alytus, Mindaugo g., karkasinis namas",285 000 €,13,152 m²,6 a,2,2018,Karkasinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,,Kraštinis sklypasGreta miškoElektra,RūbinėŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,,,
"Alytus, Vidzgiris, Lazdynų g., mūrinis namas",219 000 €,,556 m²,"8,05 a",2,1992,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru, kita",Miesto vandentiekis,Įrengtas,1 000,Greta miškoAsfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,14,,Aptverta teritorijaSignalizacijaVaizdo kameros,,
"Alytus, Senamiestis, V. Krėvės g., mūrinis namas",79 999 €,,69 m²,"11,25 a",1,"1936 statyba, 1972 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,300,Greta miškoAsfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldaisVirtuvės komplektas,Aptverta teritorija,Upė,
"Alytaus r. sav., Balkasodžio k., Topolių g., karkasinis namas",92 000 €,63,113 m²,12 a,2,2019,Karkasinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Simno m., Paupio g., mūrinis namas",175 000 €,12,197 m²,15 a,2,2013,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Žuvintų k., Pirmųjų Žuvintų g., medinis namas",17 000 €,,75 m²,32 a,1,1970,Medinis,Namas (gyvenamasis),Kietu kuru,,Kita,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytaus r. sav., Panemuninkėlių k., Strielčių g., rąstinis namas",215 000 €,1,193 m²,25 a,2,2008,Rąstinis,Namas (gyvenamasis),"Aeroterminis, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasPirtisRūbinėŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Alytaus k., Alytaus g., mūrinis namas",79 000 €,,80 m²,15 a,2,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Pirmas Alytus, Saulės g., mūrinis namas",185 000 €,,279 m²,10 a,2,"1992 statyba, 2012 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Miklusėnų k., Jurginų g., mūrinis namas",142 000 €,17B,80 m²,6 a,1,2024,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Duselninkų k., Ežero g., rąstinė sodyba",99 000 €,50,"70,83 m²","448,96 a",1,1962,Rąstinis,Sodyba,Kietu kuru,Šulinys,Kita,10,Asfaltuotas privažiavimasElektraSu pakrante,Ūkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,Vaizdo kameros,Ežeras,
"Alytaus r. sav., Jurkionių k., Kalno g., rąstinis sodo namas",31 500 €,19,"42,79 m²","5,68 a",1,2008,Rąstinis,Sodo namas,Elektra,"Šulinys, vietinis vandentiekis",Įrengtas,,Elektra,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-1627-9433,2,Su baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durysVaizdo kameros,Tvenkinys,
"Alytus, Senamiestis, Užuolankos g., mūrinis namas",59 000 €,,"85,24 m²","3,92 a",1,1970,Mūrinis,Namas (gyvenamasis),"Kietu kuru, kita",Kita,Įrengtas,600,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,Upė,
"Alytus, Senamiestis, Mėtų g., mūrinis namas",255 000 €,,"214,21 m²","7,31 a",2,"1997 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Einorų k., Jonų g., mūrinis namas",56 000 €,,365 m²,122 a,2,"1963 statyba, 1996 renovacija",Mūrinis,Namas (gyvenamasis),Kita,Šulinys,Neįrengtas,,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Pievagalių k., Lakštingalų g., rąstinė namo dalis",1 701 €,3,"34,76 m²",15 a,1,1937,Rąstinis,Namo dalis,Kietu kuru,,Kita,,Varžytynės/aukcionas,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,3393-7006-9019,,,,,
"Alytus, Senamiestis, Lelijų g., Namo dalis",69 500 €,35,"55,8 m²",3 a,1,"1924 statyba, 2011 renovacija",Kita,Namo dalis,Dujinis,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Likiškėlių k., Dainavos g., mūrinis namas",90 000 €,16,153 m²,"33,16 a",1,2022,Mūrinis,Namas (gyvenamasis),"Geoterminis, aeroterminis, kietu kuru, kita",Artezinis,Neįrengtas,,Kraštinis sklypasElektra,Garažas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,Šarvuotos durys,,
"Alytaus r. sav., Daugų k., Gilūšio g., mūrinis namas",37 000 €,2,"69,9 m²",139 a,1,1957,Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Kita,100,Elektra,Ūkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Ežeras,
"Alytaus r. sav., Miroslavo k., Vilties g., rąstinė namo dalis",14 999 €,3,67 m²,7 a,1,1950,Rąstinis,Namo dalis,Kietu kuru,Miesto vandentiekis,Įrengtas,30,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,Tvenkinys,
"Alytaus r. sav., Balninkų k., Balninkų g., mūrinis namas",73 000 €,20,"79,8 m²","41,02 a",1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Senamiestis, Klevų g., mūrinis namas",120 000 €,,230 m²,"7,9 a",2,1990,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Alytaus r. sav., Likiškėlių k., Tėviškės g., rąstinis namas",159 000 €,,"137,86 m²","11,92 a",2,2009,Rąstinis,Namas (gyvenamasis),"Kietu kuru, kita",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Žaunieriškių k., Slėnio g., mūrinis namas",365 000 €,17,"158,44 m²","9,6 a",1,2016,Mūrinis,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,,Kraštinis sklypasElektra,GaražasTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Alytaus r. sav., Simno m., Vanagėlio g., mūrinis namas",13 000 €,,"136,91 m²",53 a,1,1943,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",Šulinys,Kita,300,Asfaltuotas privažiavimasElektra,Garažas,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,7,,,Ežeras,
"Alytus, Pirmas Alytus, Merkinės g., medinis namas",145 000 €,97,72 m²,"17,99 a",1,1963,Medinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,300,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Upė,
"Alytaus r. sav., Bazorų k., Šiaurės g., mūrinis sodo namas",24 500 €,4,69 m²,6 a,1,2003,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus k., Klevų g., mūrinis sodo namas",75 000 €,,73 m²,6 a,3,1991,Mūrinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,,Elektra,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,,
"Alytaus r. sav., Punios k., Kauno g., mūrinis namas",42 000 €,,"56,8 m²",38 a,1,1967,Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Butrimonių mstl., Margirio g., rąstinis namas",36 000 €,,"58,48 m²",33 a,1,1927,Rąstinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Kita,,Kraštinis sklypasAsfaltuotas privažiavimas,Ūkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldais,Aptverta teritorija,,
"Alytaus k., Druskininkų g., Namas (gyvenamasis)",86 000 €,,"228,52 m²","17,73 a",1,2008,Kita,Namas (gyvenamasis),"Kietu kuru, kita",,Nebaigtas statyti,,Asfaltuotas privažiavimasElektra,Garažas,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytus, Pirmas Alytus, Audros g., mūrinis namas",109 999 €,17,197 m²,"8,5 a",2,"1971 statyba, 1984 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,1 500,Kraštinis sklypasGreta miškoElektraDujos,GaražasRūsysTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorija,Upė,
